date,gas_price
20150914,19.07840909
20150915,19.07840909
20150916,19.07840909
20150917,19.07840909
20150918,19.07840909
20150919,19.07840909
20150920,19.07840909
20150921,19.07840909
20150922,19.07840909
20150923,19.07840909
20150924,19.07840909
20150925,19.07840909
20150926,19.07840909
20150927,19.07840909
20150928,19.07840909
20150929,19.07840909
20150930,19.07840909
20151001,18.31136364
20151002,18.31136364
20151003,18.31136364
20151004,18.31136364
20151005,18.31136364
20151006,18.31136364
20151007,18.31136364
20151008,18.31136364
20151009,18.31136364
20151010,18.31136364
20151011,18.31136364
20151012,18.31136364
20151013,18.31136364
20151014,18.31136364
20151015,18.31136364
20151016,18.31136364
20151017,18.31136364
20151018,18.31136364
20151019,18.31136364
20151020,18.31136364
20151021,18.31136364
20151022,18.31136364
20151023,18.31136364
20151024,18.31136364
20151025,18.31136364
20151026,18.31136364
20151027,18.31136364
20151028,18.31136364
20151029,18.31136364
20151030,18.31136364
20151031,18.31136364
20151101,17.48214286
20151102,17.48214286
20151103,17.48214286
20151104,17.48214286
20151105,17.48214286
20151106,17.48214286
20151107,17.48214286
20151108,17.48214286
20151109,17.48214286
20151110,17.48214286
20151111,17.48214286
20151112,17.48214286
20151113,17.48214286
20151114,17.48214286
20151115,17.48214286
20151116,17.48214286
20151117,17.48214286
20151118,17.48214286
20151119,17.48214286
20151120,17.48214286
20151121,17.48214286
20151122,17.48214286
20151123,17.48214286
20151124,17.48214286
20151125,17.48214286
20151126,17.48214286
20151127,17.48214286
20151128,17.48214286
20151129,17.48214286
20151130,17.48214286
20151201,16.1547619
20151202,16.1547619
20151203,16.1547619
20151204,16.1547619
20151205,16.1547619
20151206,16.1547619
20151207,16.1547619
20151208,16.1547619
20151209,16.1547619
20151210,16.1547619
20151211,16.1547619
20151212,16.1547619
20151213,16.1547619
20151214,16.1547619
20151215,16.1547619
20151216,16.1547619
20151217,16.1547619
20151218,16.1547619
20151219,16.1547619
20151220,16.1547619
20151221,16.1547619
20151222,16.1547619
20151223,16.1547619
20151224,16.1547619
20151225,16.1547619
20151226,16.1547619
20151227,16.1547619
20151228,16.1547619
20151229,16.1547619
20151230,16.1547619
20151231,16.1547619
20160101,13.86375
20160102,13.86375
20160103,13.86375
20160104,13.86375
20160105,13.86375
20160106,13.86375
20160107,13.86375
20160108,13.86375
20160109,13.86375
20160110,13.86375
20160111,13.86375
20160112,13.86375
20160113,13.86375
20160114,13.86375
20160115,13.86375
20160116,13.86375
20160117,13.86375
20160118,13.86375
20160119,13.86375
20160120,13.86375
20160121,13.86375
20160122,13.86375
20160123,13.86375
20160124,13.86375
20160125,13.86375
20160126,13.86375
20160127,13.86375
20160128,13.86375
20160129,13.86375
20160130,13.86375
20160131,13.86375
20160201,12.23928571
20160202,12.23928571
20160203,12.23928571
20160204,12.23928571
20160205,12.23928571
20160206,12.23928571
20160207,12.23928571
20160208,12.23928571
20160209,12.23928571
20160210,12.23928571
20160211,12.23928571
20160212,12.23928571
20160213,12.23928571
20160214,12.23928571
20160215,12.23928571
20160216,12.23928571
20160217,12.23928571
20160218,12.23928571
20160219,12.23928571
20160220,12.23928571
20160221,12.23928571
20160222,12.23928571
20160223,12.23928571
20160224,12.23928571
20160225,12.23928571
20160226,12.23928571
20160227,12.23928571
20160228,12.23928571
20160229,12.23928571
20160301,12.01666667
20160302,12.01666667
20160303,12.01666667
20160304,12.01666667
20160305,12.01666667
20160306,12.01666667
20160307,12.01666667
20160308,12.01666667
20160309,12.01666667
20160310,12.01666667
20160311,12.01666667
20160312,12.01666667
20160313,12.01666667
20160314,12.01666667
20160315,12.01666667
20160316,12.01666667
20160317,12.01666667
20160318,12.01666667
20160319,12.01666667
20160320,12.01666667
20160321,12.01666667
20160322,12.01666667
20160323,12.01666667
20160324,12.01666667
20160325,12.01666667
20160326,12.01666667
20160327,12.01666667
20160328,12.01666667
20160329,12.01666667
20160330,12.01666667
20160331,12.01666667
20160401,11.89761905
20160402,11.89761905
20160403,11.89761905
20160404,11.89761905
20160405,11.89761905
20160406,11.89761905
20160407,11.89761905
20160408,11.89761905
20160409,11.89761905
20160410,11.89761905
20160411,11.89761905
20160412,11.89761905
20160413,11.89761905
20160414,11.89761905
20160415,11.89761905
20160416,11.89761905
20160417,11.89761905
20160418,11.89761905
20160419,11.89761905
20160420,11.89761905
20160421,11.89761905
20160422,11.89761905
20160423,11.89761905
20160424,11.89761905
20160425,11.89761905
20160426,11.89761905
20160427,11.89761905
20160428,11.89761905
20160429,11.89761905
20160430,11.89761905
20160501,12.96625
20160502,12.96625
20160503,12.96625
20160504,12.96625
20160505,12.96625
20160506,12.96625
20160507,12.96625
20160508,12.96625
20160509,12.96625
20160510,12.96625
20160511,12.96625
20160512,12.96625
20160513,12.96625
20160514,12.96625
20160515,12.96625
20160516,12.96625
20160517,12.96625
20160518,12.96625
20160519,12.96625
20160520,12.96625
20160521,12.96625
20160522,12.96625
20160523,12.96625
20160524,12.96625
20160525,12.96625
20160526,12.96625
20160527,12.96625
20160528,12.96625
20160529,12.96625
