id;name;geoid;geoname;value;datetime
602;Energía asignada en Mercado SPOT Diario España;;;21429;2016-01-06T00:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20347.9;2016-01-06T01:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;19459.6;2016-01-06T02:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;18734.5;2016-01-06T03:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;18367.7;2016-01-06T04:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;18453.9;2016-01-06T05:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;18920.8;2016-01-06T06:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;19421.7;2016-01-06T07:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;19715.6;2016-01-06T08:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20965.6;2016-01-06T09:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22220.8;2016-01-06T10:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23458.4;2016-01-06T11:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;24251.6;2016-01-06T12:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;24480.4;2016-01-06T13:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;24346.7;2016-01-06T14:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23428.6;2016-01-06T15:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22660.6;2016-01-06T16:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22113.6;2016-01-06T17:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21747.2;2016-01-06T18:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21876;2016-01-06T19:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22503.4;2016-01-06T20:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23153.6;2016-01-06T21:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22636.8;2016-01-06T22:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22692.7;2016-01-06T23:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22765;2016-01-07T00:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20935.5;2016-01-07T01:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;19622.2;2016-01-07T02:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;19254.2;2016-01-07T03:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;19328.1;2016-01-07T04:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;19715.4;2016-01-07T05:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21311.3;2016-01-07T06:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23251.2;2016-01-07T07:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;24223.3;2016-01-07T08:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;24387.6;2016-01-07T09:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23906.1;2016-01-07T10:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;24323.5;2016-01-07T11:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;24125.2;2016-01-07T12:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;24248;2016-01-07T13:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23596.8;2016-01-07T14:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22326;2016-01-07T15:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22038.2;2016-01-07T16:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23404.3;2016-01-07T17:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23858.3;2016-01-07T18:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;24092.4;2016-01-07T19:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;24130.2;2016-01-07T20:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23808.7;2016-01-07T21:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22408.6;2016-01-07T22:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21032.7;2016-01-07T23:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22170.3;2016-01-08T00:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21487.6;2016-01-08T01:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21223.8;2016-01-08T02:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20762.9;2016-01-08T03:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20532.8;2016-01-08T04:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20631.8;2016-01-08T05:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20470.9;2016-01-08T06:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21167.7;2016-01-08T07:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23323.4;2016-01-08T08:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23239.3;2016-01-08T09:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23901.6;2016-01-08T10:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23838.8;2016-01-08T11:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23597;2016-01-08T12:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23995.5;2016-01-08T13:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23482.1;2016-01-08T14:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22845.3;2016-01-08T15:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21839;2016-01-08T16:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22062.3;2016-01-08T17:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23054.5;2016-01-08T18:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23860.2;2016-01-08T19:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;24340.3;2016-01-08T20:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;24407.8;2016-01-08T21:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22702.3;2016-01-08T22:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20760.4;2016-01-08T23:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;19816.4;2016-01-09T00:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;18666.6;2016-01-09T01:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;18124.9;2016-01-09T02:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;17693.8;2016-01-09T03:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;17814.5;2016-01-09T04:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;18086.2;2016-01-09T05:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;18669.1;2016-01-09T06:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;19584.6;2016-01-09T07:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;20404.4;2016-01-09T08:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;21242.3;2016-01-09T09:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22004.5;2016-01-09T10:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22990.8;2016-01-09T11:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23938.2;2016-01-09T12:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;24403.1;2016-01-09T13:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;24602.1;2016-01-09T14:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;24282.9;2016-01-09T15:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23695.1;2016-01-09T16:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22942;2016-01-09T17:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23140.8;2016-01-09T18:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22850.3;2016-01-09T19:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23724.8;2016-01-09T20:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23792.3;2016-01-09T21:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23185.1;2016-01-09T22:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;23170;2016-01-09T23:00:00+01:00
602;Energía asignada en Mercado SPOT Diario España;;;22260.7;2016-01-10T00:00:00+01:00
